identifier,name,description, audience_size ,type,source,partner,path
1.05657E+14,Developmental Psychology (FejlÅïdí©slí©lektan),,"134,310.00",education_majors,,,Demographics/Education/Fields of Study/Developmental Psychology (FejlÅïdí©slí©lektan)
6.0032E+12,Iman (model),,"4,769,500.00",interests,,,Interests/Additional interests/Iman (model)
6.00313E+12,EOTO,,"173,670.00",interests,,,Interests/Additional interests/EOTO
1.12282E+14,Librarian (Avdelingsbibliotekar),,"193,771.00",work_positions,,,Demographics/Work/Job Titles/Librarian (Avdelingsbibliotekar)
6.00334E+12,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",,"124,130.00",interests,,,"Interests/Additional interests/Eulogio ""Amang"" Rodriguez Institute of Science and Technology"
6.00296E+12,Ammo (musician),,"844,330.00",interests,,,Interests/Additional interests/Ammo (musician)
6.01475E+12,ETtodayÎ¿µç_©___,,"1,128,890.00",interests,,,Interests/Additional interests/ETtodayÎ¿µç_©___
6.00329E+12,Concussion,,"2,394,710.00",interests,,,Interests/Additional interests/Concussion
1.56066E+15,<b><fg=f0ff00cc>Anh tíåm nàé„i nhàé_äó_.Anh tíåm quíç khàé©.Nhàé_ là_¿m kí_...,,"2,280.00",work_employers,,,Demographics/Work/Employers/<b><fg=f0ff00cc>Anh tíåm nàé„i nhàé_äó_.Anh tíåm quíç khàé©.Nhàé_ là_¿m kí_...
6.00348E+12,Acharnes,,"148,390.00",interests,,,Interests/Additional interests/Acharnes
6.00337E+12,Blues rock,,"74,494,170.00",interests,,,Interests/Additional interests/Blues rock
6.00338E+12,The AC/DC Family!,,"386,810.00",interests,,,Interests/Additional interests/The AC/DC Family!
6.00367E+12,Bos,,"159,880.00",interests,,,Interests/Additional interests/Bos
6.00297E+12,ThinkGeek,,"1,930,550.00",interests,,,Interests/Additional interests/ThinkGeek
6.00318E+12,Fallout 3,,"2,322,920.00",interests,,,Interests/Additional interests/Fallout 3
6.00354E+12,Bhutan,,"5,296,020.00",interests,,,Interests/Additional interests/Bhutan
6.00322E+12,Kiatnakin Bank,,"388,040.00",interests,,,Interests/Additional interests/Kiatnakin Bank
6.00354E+12,Common carp,,"1,220,450.00",interests,,,Interests/Additional interests/Common carp
6.0157E+12,American Animal Hospital Association (AAHA),,"137,620.00",interests,,,Interests/Additional interests/American Animal Hospital Association (AAHA)
1.12468E+14,Rí_o Santiago Shipyard (AFNE),,"2,817.00",work_employers,,,Demographics/Work/Employers/Rí_o Santiago Shipyard (AFNE)
6.00351E+12,Veronica Campbell-Brown,,"173,300.00",interests,,,Interests/Additional interests/Veronica Campbell-Brown
6.00373E+12,í_Ûôrenci Evi,,"354,750.00",interests,,,Interests/Additional interests/í_Ûôrenci Evi
6.0031E+12,í_bler,,860,interests,,,Interests/Additional interests/í_bler
6.00343E+12,hhx,,312,interests,,,Interests/Additional interests/hhx
6.00349E+12,Families and Friends of Lesbians and Gays,,"3,200.00",interests,,,Interests/Additional interests/Families and Friends of Lesbians and Gays
6.00438E+12,All mobile devices,People who access the Internet through mobile devices,"1,726,840,516.00",behaviors,,,Behaviours/Mobile Device User/All mobile devices
6.00314E+12,ESIC,,"71,980.00",interests,,,Interests/Additional interests/ESIC
1.12624E+14,Russian,,"62,419.00",education_majors,,,Demographics/Education/Fields of Study/Russian
6.00373E+12,Justice and Development Party (Turkey),,"21,764,960.00",interests,,,Interests/Additional interests/Justice and Development Party (Turkey)
6.00314E+12,RDS- Le Rí©seau des sports,,"3,500.00",interests,,,Interests/Additional interests/RDS- Le Rí©seau des sports
6.00372E+12,Isoroku Yamamoto,,"310,060.00",interests,,,Interests/Additional interests/Isoroku Yamamoto
6.00314E+12,Jí_rgen Klopp,,"2,766,070.00",interests,,,Interests/Additional interests/Jí_rgen Klopp
1.65587E+15,Awesome Ocean,,"669,830.00",interests,,,Interests/Additional interests/Awesome Ocean
6.00311E+12,Anchor,,"3,987,730.00",interests,,,Interests/Additional interests/Anchor
6.00883E+12,Lip (gastropod),,"8,330,250.00",interests,,,Interests/Additional interests/Lip (gastropod)
6.00351E+12,People's Daily,,"25,900,460.00",interests,,,Interests/Additional interests/People's Daily
2.81925E+14,ABM,,"11,770.00",work_positions,,,Demographics/Work/Job Titles/ABM
6.00301E+12,Philosophy of mind,,"15,518,160.00",interests,,,Interests/Additional interests/Philosophy of mind
6.00318E+12,Phil Ivey,,"301,680.00",interests,,,Interests/Additional interests/Phil Ivey
6.00337E+12,brum,,"57,520.00",interests,,,Interests/Additional interests/brum
6.00438E+12,Smartphones and tablets,People who access the Internet via a smartphone or tablet device.,"1,606,203,662.00",behaviors,,,Behaviours/Mobile Device User/Smartphones and tablets
2,At university,,"46,899,064.00",education_statuses,,,Demographics/Education/Education Level/At university
6.00338E+12,Erding (district),,"126,910.00",interests,,,Interests/Additional interests/Erding (district)
6.00307E+12,Eir,,"109,600.00",interests,,,Interests/Additional interests/Eir
6.0094E+12,Sally Jewell,,"5,150.00",interests,,,Interests/Additional interests/Sally Jewell
1.09922E+11,Aveda,,"14,304.00",work_employers,,,Demographics/Work/Employers/Aveda
6.00418E+12,Atomic Kitten,,"119,610.00",interests,,,Interests/Additional interests/Atomic Kitten
1.11862E+14,BG/BRG Oeversee,,"3,164.00",education_schools,,,Demographics/Education/Schools/Universities/BG/BRG Oeversee
2.88516E+14,EUD & EUX Business Aalborg Handelsskole Langagervej,,"18,990.00",education_schools,,,Demographics/Education/Schools/Universities/EUD & EUX Business Aalborg Handelsskole Langagervej
6.00329E+12,Amherst College,,"57,800.00",interests,,,Interests/Additional interests/Amherst College
6.00305E+12,bdp bariÅô ve demokrasi partisi,,"36,390.00",interests,,,Interests/Additional interests/bdp bariÅô ve demokrasi partisi
6.00298E+12,Confessions on a Dance Floor,,"76,100.00",interests,,,Interests/Additional interests/Confessions on a Dance Floor
6.00296E+12,Vladimir Arzumanyan,,"147,710.00",interests,,,Interests/Additional interests/Vladimir Arzumanyan
6.00311E+12,Acer Inc.,,"12,166,920.00",interests,,,Interests/Additional interests/Acer Inc.
6.00335E+12,Deti,,"2,050.00",interests,,,Interests/Additional interests/Deti
6.00315E+12,Bofete,,"18,140.00",interests,,,Interests/Additional interests/Bofete
1.04069E+14,Acs Athens,,"4,916.00",education_schools,,,Demographics/Education/Schools/Universities/Acs Athens
6.00342E+12,Astronomy (magazine),,"1,090,890.00",interests,,,Interests/Additional interests/Astronomy (magazine)
1.07593E+14,AIMST University,,"9,187.00",education_schools,,,Demographics/Education/Schools/Universities/AIMST University
6.00329E+12,Nissan Rogue,,"855,400.00",interests,,,Interests/Additional interests/Nissan Rogue
6.00371E+12,Stir frying,,"1,704,790.00",interests,,,Interests/Additional interests/Stir frying
6.00411E+12,Atjazz Record Company,,"76,920.00",interests,,,Interests/Additional interests/Atjazz Record Company
6.00318E+12,Cera,,"342,390.00",interests,,,Interests/Additional interests/Cera
6.0032E+12,Gavie Chahal,,"167,420.00",interests,,,Interests/Additional interests/Gavie Chahal
6.00326E+12,Get Inspired,,"817,150.00",interests,,,Interests/Additional interests/Get Inspired
6.00343E+12,Gawalmandi,,"24,660.00",interests,,,Interests/Additional interests/Gawalmandi
6.00327E+12,Aof Pongsak Rattanaphong,,"1,615,880.00",interests,,,Interests/Additional interests/Aof Pongsak Rattanaphong
6.00338E+12,Tt,,"152,660.00",interests,,,Interests/Additional interests/Tt
1.06063E+14,Nepal Airlines (RNAC),,"2,158.00",work_employers,,,Demographics/Work/Employers/Nepal Airlines (RNAC)
6.00337E+12,A. R. Rahman,,"19,062,610.00",interests,,,Interests/Additional interests/A. R. Rahman
6.00311E+12,Can You Feel the Love Tonight,,"78,050.00",interests,,,Interests/Additional interests/Can You Feel the Love Tonight
6.00365E+12,Theatrical property,,390,interests,,,Interests/Additional interests/Theatrical property
6.00346E+12,Westover Air Reserve Base,,"19,040.00",interests,,,Interests/Additional interests/Westover Air Reserve Base
6.00842E+12,QUT Business School,,"10,340.00",interests,,,Interests/Additional interests/QUT Business School
6.00315E+12,Bintang Akedemi Fantasia,,"14,259.00",interests,,,Interests/Additional interests/Bintang Akedemi Fantasia
1.00312E+14,BJMC bachelor of journalism & Mass communication,,"2,029.00",education_majors,,,Demographics/Education/Fields of Study/BJMC bachelor of journalism & Mass communication
6.00396E+12,The Atlanta Journal-Constitution,,"1,198,110.00",interests,,,Interests/Additional interests/The Atlanta Journal-Constitution
6.00289E+12,PDK,,"140,760.00",interests,,,Interests/Additional interests/PDK
8.44386E+14,Ingersoll-Rand ABG,,"5,886.00",work_employers,,,Demographics/Work/Employers/Ingersoll-Rand ABG
6.01592E+12,universidad peruana de ciencias aplicadas,,"371,940.00",interests,,,Interests/Additional interests/universidad peruana de ciencias aplicadas
6.00331E+12,Horse markings,,"2,030,770.00",interests,,,Interests/Additional interests/Horse markings
1.57588E+14,Eyre High School,,"6,486.00",education_schools,,,Demographics/Education/Schools/Universities/Eyre High School
6.01407E+12,Fuori Frigo,,"142,710.00",interests,,,Interests/Additional interests/Fuori Frigo
6.00346E+12,Catz,,"237,240.00",interests,,,Interests/Additional interests/Catz
6.00326E+12,Teletubbies,,"2,522,410.00",interests,,,Interests/Additional interests/Teletubbies
6.00328E+12,Pilgrim,,"1,641,800.00",interests,,,Interests/Additional interests/Pilgrim
66681829158,Sprite,,"55,554.00",work_employers,,,Demographics/Work/Employers/Sprite
6.00318E+12,Gorillaz (album),,"5,976,910.00",interests,,,Interests/Additional interests/Gorillaz (album)
6.0123E+12,BBVA Colombia,,"115,990.00",interests,,,Interests/Additional interests/BBVA Colombia
6.00347E+12,S.L. Benfica,,"42,967,410.00",interests,,,Interests/Additional interests/S.L. Benfica
6.00334E+12,"Valencia, Carabobo",,"330,410.00",interests,,,"Interests/Additional interests/Valencia, Carabobo"
88014372638,RAAF,,"9,005.00",work_employers,,,Demographics/Work/Employers/RAAF
6.00298E+12,Batman Beyond,,"1,232,200.00",interests,,,Interests/Additional interests/Batman Beyond
6.00326E+12,Steps Ahead,,"35,040.00",interests,,,Interests/Additional interests/Steps Ahead
6.00319E+12,Field (mathematics),,"8,761,250.00",interests,,,Interests/Additional interests/Field (mathematics)
6.00302E+12,Adrien Brody,,"436,340.00",interests,,,Interests/Additional interests/Adrien Brody
6.00306E+12,Electronic Sports World Cup,,"99,290.00",interests,,,Interests/Additional interests/Electronic Sports World Cup
6.00307E+12,Near-Earth object,,"6,971,630.00",interests,,,Interests/Additional interests/Near-Earth object
6.01629E+12,Smartphone Owners,People who connect to Facebook using a Smartphone,"1,534,671,106.00",behaviors,,,Behaviours/Mobile Device User/Smartphone Owners
67997232685,Foot Locker,,"582,035.00",work_employers,,,Demographics/Work/Employers/Foot Locker
74638360984,Ritz-Carlton,,"42,926.00",work_employers,,,Demographics/Work/Employers/Ritz-Carlton
1.23247E+14,øåø_™ƒø_ø© ø_™‹™Ê™ˆø±™_™Ê AL-Nahrain University,,"13,037.00",education_schools,,,Demographics/Education/Schools/Universities/øåø_™ƒø_ø© ø_™‹™Ê™ˆø±™_™Ê AL-Nahrain University
6.00325E+12,Cretaceous,,"974,120.00",interests,,,Interests/Additional interests/Cretaceous
6.00314E+12,Bermuda,,"10,458,020.00",interests,,,Interests/Additional interests/Bermuda
6.00414E+12,Iyer,,"42,040.00",interests,,,Interests/Additional interests/Iyer
1.05552E+14,BPOL,,"5,694.00",work_employers,,,Demographics/Work/Employers/BPOL
6.00319E+12,Friedrich Frí_bel,,"430,500.00",interests,,,Interests/Additional interests/Friedrich Frí_bel
6.00382E+12,Aaron Swartz,,"58,930.00",interests,,,Interests/Additional interests/Aaron Swartz
1.55007E+15,"HVAC Maintenance Technician (Heating, Ventilation and Air...",,"7,164.00",work_positions,,,"Demographics/Work/Job Titles/HVAC Maintenance Technician (Heating, Ventilation and Air..."
6.01661E+12,™_™_™ƒ™_ø_øÈ øÂ™Ê™_øÈ™ˆ ø_™€ø±™ˆ,,"696,490.00",interests,,,Interests/Additional interests/™_™_™ƒ™_ø_øÈ øÂ™Ê™_øÈ™ˆ ø_™€ø±™ˆ
6.00371E+12,Master's Degree,,"58,401,270.00",interests,,,Interests/Additional interests/Master's Degree
2.54167E+14,Bogomolets National Medical University,,"14,375.00",education_schools,,,Demographics/Education/Schools/Universities/Bogomolets National Medical University
1.15563E+14,Dr. R.M.L. Awadh University Faizabad,,"14,063.00",education_schools,,,Demographics/Education/Schools/Universities/Dr. R.M.L. Awadh University Faizabad
6.00318E+12,Usul al-fiqh,,10,interests,,,Interests/Additional interests/Usul al-fiqh
3.01708E+11,Aqua,,"2,144.00",work_employers,,,Demographics/Work/Employers/Aqua
6.00322E+12,Eyo,, -   ,interests,,,Interests/Additional interests/Eyo
6.00323E+12,Global warming,,"111,921,610.00",interests,,,Interests/Additional interests/Global warming
6.00297E+12,Reference Daily Intake,,"396,810.00",interests,,,Interests/Additional interests/Reference Daily Intake
1.09718E+14,Forester (Rimbawan),,"18,747.00",work_positions,,,Demographics/Work/Job Titles/Forester (Rimbawan)
6.00409E+12,Talk That Talk,,"22,682,090.00",interests,,,Interests/Additional interests/Talk That Talk
6.0032E+12,Bodega Aurreríç,,"7,716,830.00",interests,,,Interests/Additional interests/Bodega Aurreríç
1.90226E+14,Lycí©e Mahmoud Mentouri - Ben Aknoun,,"4,774.00",education_schools,,,Demographics/Education/Schools/Universities/Lycí©e Mahmoud Mentouri - Ben Aknoun
6.01261E+12,RigHands,,"231,260.00",interests,,,Interests/Additional interests/RigHands
1.69267E+11,Au-Au,,"3,670.00",work_employers,,,Demographics/Work/Employers/Au-Au
6.0035E+12,University of Calicut,,"131,460.00",interests,,,Interests/Additional interests/University of Calicut
6.00296E+12,Axams,,"9,700.00",interests,,,Interests/Additional interests/Axams
1.55057E+15,"Aomori, Aomori",,"694,600.00",interests,,,"Interests/Additional interests/Aomori, Aomori"
1.89145E+14,AECS Narora,,"4,714.00",education_schools,,,Demographics/Education/Schools/Universities/AECS Narora
6.00366E+12,MKR,,"50,750.00",interests,,,Interests/Additional interests/MKR
6.00314E+12,HipHop for PHP,,"32,630.00",interests,,,Interests/Additional interests/HipHop for PHP
6.00439E+12,All Android devices,People who access the Internet through an Android mobile device,"1,218,399,867.00",behaviors,,,Behaviours/Mobile Device User/All Mobile Devices by Operating System/All Android devices
1.07638E+14,Emsley A. Laney High School,,"23,759.00",education_schools,,,Demographics/Education/Schools/Universities/Emsley A. Laney High School
6.00303E+12,Wide-body aircraft,,"866,680.00",interests,,,Interests/Additional interests/Wide-body aircraft
6.00328E+12,Ice cream,,"102,824,320.00",interests,,,Interests/Additional interests/Ice cream
22512657391,BCBGMAXAZRIA,,"11,396.00",work_employers,,,Demographics/Work/Employers/BCBGMAXAZRIA
6.00314E+12,Fjellturer,,"6,207.00",interests,,,Interests/Additional interests/Fjellturer
6.00322E+12,americas funniest home videos,,"11,940,440.00",interests,,,Interests/Additional interests/americas funniest home videos
6.00341E+12,Opel Omega,,"715,680.00",interests,,,Interests/Additional interests/Opel Omega
24902886692,Coach,,"1,197,785.00",work_positions,,,Demographics/Work/Job Titles/Coach
1.02796E+14,Lifeguard (Badjuffrouw),,"602,899.00",work_positions,,,Demographics/Work/Job Titles/Lifeguard (Badjuffrouw)
6.00408E+12,Ana Carolina,,"4,036,200.00",interests,,,Interests/Additional interests/Ana Carolina
6.00335E+12,___»_Â_» ___ç_»___î -_ñ_£ _ê_´_î_ñ_»_ù _Â_©___»,,"56,110.00",interests,,,Interests/Additional interests/___»_Â_» ___ç_»___î -_ñ_£ _ê_´_î_ñ_»_ù _Â_©___»
1.64304E+15,Rhany,,"407,990.00",interests,,,Interests/Additional interests/Rhany
6.0032E+12,Akon,,"59,053,660.00",interests,,,Interests/Additional interests/Akon
6.00327E+12,Ecclesia Dei,,"17,530.00",interests,,,Interests/Additional interests/Ecclesia Dei
6.00308E+12,Abdo Feghali,,"212,120.00",interests,,,Interests/Additional interests/Abdo Feghali
6.00367E+12,Value added,,"474,700.00",interests,,,Interests/Additional interests/Value added
6.00458E+12,Excel Entertainment,,"2,099,830.00",interests,,,Interests/Additional interests/Excel Entertainment
6.00348E+12,Rajshri Productions,,"2,711,030.00",interests,,,Interests/Additional interests/Rajshri Productions
1.26569E+14,Gbewaa College of Education,,"3,173.00",education_schools,,,Demographics/Education/Schools/Universities/Gbewaa College of Education
6.00418E+12,Immobiliser,,"511,980.00",interests,,,Interests/Additional interests/Immobiliser
6.00307E+12,Oni,,"1,921,880.00",interests,,,Interests/Additional interests/Oni
6.00324E+12,Bowl game,,"1,244,000.00",interests,,,Interests/Additional interests/Bowl game
6.00308E+12,The Epoch Times,,"4,391,810.00",interests,,,Interests/Additional interests/The Epoch Times
6.00349E+12,Brain,,"89,635,550.00",interests,,,Interests/Additional interests/Brain
1.56949E+15,Sprite,,"55,554.00",work_employers,,,Demographics/Work/Employers/Sprite
6.00343E+12,Blood donation,,"3,911,300.00",interests,,,Interests/Additional interests/Blood donation
6.00363E+12,PaX,,"23,280.00",interests,,,Interests/Additional interests/PaX
6.01229E+12,Edecanes AAA.mx,,"40,890.00",interests,,,Interests/Additional interests/Edecanes AAA.mx
6.00311E+12,lml,,"124,900.00",interests,,,Interests/Additional interests/lml
6.00335E+12,Elle and Blair Fowler,,"216,040.00",interests,,,Interests/Additional interests/Elle and Blair Fowler
6.00295E+12,Chinese language,,"38,240,930.00",interests,,,Interests/Additional interests/Chinese language
6.004E+12,Mitsubishi F-2,,"68,280.00",interests,,,Interests/Additional interests/Mitsubishi F-2
6.01121E+12,Universitas Esa Unggul,,"67,700.00",interests,,,Interests/Additional interests/Universitas Esa Unggul
6.00316E+12,The Black Onyx,,"73,210.00",interests,,,Interests/Additional interests/The Black Onyx
1.06077E+14,AISSMS College of Engineering,,"12,627.00",education_schools,,,Demographics/Education/Schools/Universities/AISSMS College of Engineering
6.0037E+12,Ennepetal,,"28,220.00",interests,,,Interests/Additional interests/Ennepetal
6.00348E+12,Bipasha Hayat,,"237,400.00",interests,,,Interests/Additional interests/Bipasha Hayat
6.00313E+12,DTG,,"37,940.00",interests,,,Interests/Additional interests/DTG
1.03127E+14,Aaj News,,"3,129.00",work_employers,,,Demographics/Work/Employers/Aaj News
6.01164E+12,FGVcenn - Centro de Empreendedorismo e Novos Negí_cios,,"16,170.00",interests,,,Interests/Additional interests/FGVcenn - Centro de Empreendedorismo e Novos Negí_cios
6.00316E+12,Riverside Community College District,,"3,300.00",interests,,,Interests/Additional interests/Riverside Community College District
6.02146E+12,EmuBands,,"3,330.00",interests,,,Interests/Additional interests/EmuBands
6.00337E+12,Savvy Auntie,,"52,550.00",interests,,,Interests/Additional interests/Savvy Auntie
6.00314E+12,Etoday,,"33,740.00",interests,,,Interests/Additional interests/Etoday
3.87464E+11,AIMR,,"2,657.00",work_employers,,,Demographics/Work/Employers/AIMR
1.12202E+14,Bihar University,,"43,253.00",education_schools,,,Demographics/Education/Schools/Universities/Bihar University
6.00296E+12,Esmoriz,,"54,430.00",interests,,,Interests/Additional interests/Esmoriz
4.90041E+14,Raozan University College,,"7,790.00",education_schools,,,Demographics/Education/Schools/Universities/Raozan University College
6.00338E+12,SGH,,"15,920.00",interests,,,Interests/Additional interests/SGH
6.00305E+12,Carole King,,"3,390,830.00",interests,,,Interests/Additional interests/Carole King
6.01344E+12,LE BHV MARAIS,,"94,010.00",interests,,,Interests/Additional interests/LE BHV MARAIS
6.00376E+12,Dele,,"141,310.00",interests,,,Interests/Additional interests/Dele
6.00318E+12,RTV (Bangladesh),,"5,881,710.00",interests,,,Interests/Additional interests/RTV (Bangladesh)
6.00319E+12,Ibiza,,"17,685,390.00",interests,,,Interests/Additional interests/Ibiza
6.0033E+12,Anwar Rasheed,,"180,660.00",interests,,,Interests/Additional interests/Anwar Rasheed
1.08126E+14,Geheime Staatspolizei,,"2,730.00",education_majors,,,Demographics/Education/Fields of Study/Geheime Staatspolizei
6.01606E+12,Anxiety Advice,,"102,840.00",interests,,,Interests/Additional interests/Anxiety Advice
6.00328E+12,Gelug,,"6,910,500.00",interests,,,Interests/Additional interests/Gelug
9736862409,Auntie Anne's,,"13,482.00",work_employers,,,Demographics/Work/Employers/Auntie Anne's
6.00299E+12,Lev Vygotsky,,"59,750.00",interests,,,Interests/Additional interests/Lev Vygotsky
53133370935,Bershka,,"187,278.00",work_employers,,,Demographics/Work/Employers/Bershka
6.00346E+12,CGT,,"12,676.00",interests,,,Interests/Additional interests/CGT
6.00335E+12,Asnan,,"18,490.00",interests,,,Interests/Additional interests/Asnan
1.05537E+14,American Academy of Dramatic Arts (AADA),,"22,486.00",education_schools,,,Demographics/Education/Schools/Universities/American Academy of Dramatic Arts (AADA)
6.00321E+12,Ayem,,"23,210.00",interests,,,Interests/Additional interests/Ayem
6.00313E+12,American Community School at Beirut,,"2,390.00",interests,,,Interests/Additional interests/American Community School at Beirut
6.0033E+12,RV Photography,,"52,490.00",interests,,,Interests/Additional interests/RV Photography
6.00337E+12,Regulus,,"198,290.00",interests,,,Interests/Additional interests/Regulus
6.00318E+12,Fahrenheit (Taiwanese band),,"970,080.00",interests,,,Interests/Additional interests/Fahrenheit (Taiwanese band)
6.01474E+12,ABOUT YOU,,"741,580.00",interests,,,Interests/Additional interests/ABOUT YOU
2.15225E+14,Aengland,,"14,108.00",work_employers,,,Demographics/Work/Employers/Aengland
